read query  1734ticks
run query  175ticks
read query  1733ticks
run query  175ticks
read query  450ticks
run query  181ticks
read query  426ticks
run query  178ticks
read query  450ticks
run query  181ticks
read query  412ticks
run query  179ticks
read query  449ticks
run query  177ticks
read query  414ticks
run query  183ticks
read query  412ticks
run query  178ticks
read query  460ticks
run query  178ticks
read query  450ticks
run query  175ticks
read query  423ticks
run query  183ticks
read query  478ticks
run query  370ticks
read query  476ticks
run query  206ticks
read query  467ticks
run query  185ticks


r1 497ticks
r2 476ticks
r2 452ticks
r2 447ticks
r1 492ticks
r1 458ticks
r3 36ticks
r3 31ticks
r3 33ticks
r4 36ticks
r4 36ticks
r4 35ticks
r4 30ticks
r4 486ticks

captures  101ticks
while remove by one  1067 60ticks
replace  87ticks
captures  98ticks
while remove by one  1065 46ticks
replace  85ticks
replace  10756ticks

read query  66ticks
run query  206ticks
read query  64ticks
run query  162ticks
read query  58ticks
run query  167ticks


 optional filter

read query  57ticks
run query  162ticks
read query  58ticks
run query  159ticks
read query  53ticks
run query  0ticks
read query  7ticks
run query  0ticks

run query  20,3876ms
read query  1,0616ms
run query  1,9158ms
read query  1,0458ms
run query  2,484ms
read query  1,0146ms
run query  1,94ms
read query  54,5823ms
run query  23,6388ms
read query  1,0169ms
run query  1,8074ms
read query  1,2726ms
run query  2,1924ms
read query  1,2149ms
run query  2,026ms
read query  40,3425ms
run query  18,1051ms
read query  1,1914ms
run query  1,9143ms
read query  1,2193ms
run query  2,3434ms
read query  0,9835ms
run query  2,2342ms
read query  35,0631ms
run query  18,0778ms
read query  1,1909ms
run query  1,9043ms
read query  1,0259ms
run query  2,5256ms
read query  1,2159ms
run query  2,3202ms
read query  43,3501ms
run query  17,2182ms
read query  1,3096ms
run query  2,1505ms
read query  1,1613ms
run query  2,2495ms
read query  0,9603ms
run query  2,1145ms
read query  37,7097ms
run query  16,9769ms
read query  0,9557ms
run query  1,8714ms
read query  1,2489ms
run query  2,2982ms
read query  0,9465ms
run query  1,7994ms
read query  43,8335ms
run query  95,3813ms
read query  1,1044ms
run query  66,6228ms
read query  1,1366ms
run query  66,8162ms
read query  1,1636ms
run query  69,909ms
read query  36,631ms
run query  89,0069ms
read query  0,9394ms
run query  56,8568ms
read query  0,9406ms
run query  61,111ms
read query  0,9621ms
run query  59,9716ms
read query  35,2259ms
run query  118,2746ms
read query  1,5448ms
run query  75,2597ms
read query  0,947ms
run query  56,6132ms
read query  0,981ms
run query  61,1319ms
read query  37,4232ms
run query  108,7811ms
read query  1,1249ms
run query  67,2611ms
read query  1,3657ms
run query  66,8134ms
read query  1,1483ms
run query  67,4346ms
read query  36,3195ms
run query  99,9577ms
read query  0,9389ms
run query  59,818ms
read query  0,982ms
run query  58,1966ms
read query  1,0111ms
run query  59,2429ms
read query  36,0046ms
read query  58,8926ms
read query  78888,4964ms
read query  10782,0452ms
read query  34,1964ms
read query  32,6978ms
read query  32,3296ms
read query  34,5485ms
read query  31,2728ms
read query  32,7187ms
read query  31,1422ms
read query  31,2078ms
read query  31,068ms
read query  32,3646ms
read query  34,3679ms
run query  100,4976ms
read query  2,7006ms
run query  70,481ms
read query  0,9516ms
run query  49,1142ms
read query  0,9922ms
run query  49,8232ms
read query  62,3975ms
run query  76,971ms
read query  1,2991ms
run query  55,5317ms
read query  1,131ms
run query  60,873ms
read query  2,1355ms
run query  56,604ms
read query  35,031ms
run query  81,4558ms
read query  0,9544ms
run query  63,0792ms
read query  1,4203ms
run query  53,8718ms
read query  0,9682ms
run query  57,9338ms
read query  44,4768ms
run query  86,5864ms
read query  1,1261ms
run query  59,7821ms
read query  1,5027ms
run query  55,9057ms
read query  1,1828ms
run query  55,9945ms


read query  35,8128ms
run query  79,3037ms
read query  0,9355ms
run query  49,2185ms
read query  0,9583ms
run query  48,7266ms
read query  1,0197ms
run query  48,3684ms
read query  71,3ms
run query  62,8169ms
read query  1,1274ms
run query  35,2359ms
read query  1,1626ms
run query  33,5053ms
read query  1,2631ms
run query  28,2341ms

read query  36,5187ms
run query  55,9039ms
read query  1,097ms
run query  26,8168ms
read query  1,1555ms
run query  27,3776ms
read query  1,1756ms
run query  27,1184ms

read query  36,259ms
run query  54,9597ms
read query  1,1075ms
run query  27,5338ms
read query  1,1167ms
run query  26,7949ms
read query  1,1677ms
run query  28,3102ms
read query  36,1587ms
run query  7700,6024ms
read query  1,1402ms
run query  26,3966ms
read query  1,1389ms
run query  28,4035ms
read query  1,5208ms
